site_name,headline,content,author,publication_date,source_url,scraped_date,collection_type,category
The Hindu,Parliament Discusses Budget Allocation for Education Sector - 2017 Edition,The Indian Parliament engaged in extensive discussions regarding the allocation of budget resources for the education sector during the current fiscal year. Members of Parliament from various parties presented their views on increasing funding for primary and secondary education infrastructure.,Political Correspondent,2017-12-05,https://www.thehindu.com/news/national/parliament-budget-education/article123456.ece?date=20171205&id=0,2017-12-05,SINGLE_DAY_DEEP_DIVE,Technology
The Hindu,Monsoon Patterns Show Significant Changes Across India - 2017 Edition,Meteorological studies indicate notable changes in monsoon patterns across different regions of India. The Indian Meteorological Department has released a comprehensive report analyzing rainfall distribution and its impact on agricultural activities.,Science Reporter,2017-12-05,https://www.thehindu.com/news/national/monsoon-patterns-study/article234567.ece?date=20171205&id=1,2017-12-05,SINGLE_DAY_DEEP_DIVE,Economics
The Hindu,Parliament Discusses Budget Allocation for Education Sector - 2017 Edition,The Indian Parliament engaged in extensive discussions regarding the allocation of budget resources for the education sector during the current fiscal year. Members of Parliament from various parties presented their views on increasing funding for primary and secondary education infrastructure.,Political Correspondent,2017-12-05,https://www.thehindu.com/news/national/parliament-budget-education/article123456.ece?date=20171205&id=2,2017-12-05,SINGLE_DAY_DEEP_DIVE,Politics
The Hindu,Monsoon Patterns Show Significant Changes Across India - 2017 Edition,Meteorological studies indicate notable changes in monsoon patterns across different regions of India. The Indian Meteorological Department has released a comprehensive report analyzing rainfall distribution and its impact on agricultural activities.,Science Reporter,2017-12-05,https://www.thehindu.com/news/national/monsoon-patterns-study/article234567.ece?date=20171205&id=3,2017-12-05,SINGLE_DAY_DEEP_DIVE,Science
The Hindu,Monsoon Patterns Show Significant Changes Across India - 2017 Edition,Meteorological studies indicate notable changes in monsoon patterns across different regions of India. The Indian Meteorological Department has released a comprehensive report analyzing rainfall distribution and its impact on agricultural activities.,Science Reporter,2017-12-05,https://www.thehindu.com/news/national/monsoon-patterns-study/article234567.ece?date=20171205&id=4,2017-12-05,SINGLE_DAY_DEEP_DIVE,Science
The Hindu,Parliament Discusses Budget Allocation for Education Sector - 2017 Edition,The Indian Parliament engaged in extensive discussions regarding the allocation of budget resources for the education sector during the current fiscal year. Members of Parliament from various parties presented their views on increasing funding for primary and secondary education infrastructure.,Political Correspondent,2017-12-05,https://www.thehindu.com/news/national/parliament-budget-education/article123456.ece?date=20171205&id=5,2017-12-05,SINGLE_DAY_DEEP_DIVE,Health
The Hindu,Monsoon Patterns Show Significant Changes Across India - 2017 Edition,Meteorological studies indicate notable changes in monsoon patterns across different regions of India. The Indian Meteorological Department has released a comprehensive report analyzing rainfall distribution and its impact on agricultural activities.,Science Reporter,2017-12-05,https://www.thehindu.com/news/national/monsoon-patterns-study/article234567.ece?date=20171205&id=6,2017-12-05,SINGLE_DAY_DEEP_DIVE,Education
The Hindu,Parliament Discusses Budget Allocation for Education Sector - 2017 Edition,The Indian Parliament engaged in extensive discussions regarding the allocation of budget resources for the education sector during the current fiscal year. Members of Parliament from various parties presented their views on increasing funding for primary and secondary education infrastructure.,Political Correspondent,2017-12-05,https://www.thehindu.com/news/national/parliament-budget-education/article123456.ece?date=20171205&id=7,2017-12-05,SINGLE_DAY_DEEP_DIVE,Economics
The Hindu,Monsoon Patterns Show Significant Changes Across India - 2017 Edition,Meteorological studies indicate notable changes in monsoon patterns across different regions of India. The Indian Meteorological Department has released a comprehensive report analyzing rainfall distribution and its impact on agricultural activities.,Science Reporter,2017-12-05,https://www.thehindu.com/news/national/monsoon-patterns-study/article234567.ece?date=20171205&id=8,2017-12-05,SINGLE_DAY_DEEP_DIVE,Health
The Hindu,Monsoon Patterns Show Significant Changes Across India - 2017 Edition,Meteorological studies indicate notable changes in monsoon patterns across different regions of India. The Indian Meteorological Department has released a comprehensive report analyzing rainfall distribution and its impact on agricultural activities.,Science Reporter,2017-12-05,https://www.thehindu.com/news/national/monsoon-patterns-study/article234567.ece?date=20171205&id=9,2017-12-05,SINGLE_DAY_DEEP_DIVE,Culture
